Session,stimuli_type,att_type,stimuli_time,Condition,y,subj_id
2,2,3,400,12,0.0435319723679207,46
1,1,1,500,1,0.0111313363178716,46
2,1,1,500,2,0.0683206598795926,46
1,2,1,500,3,0.00358342214023591,46
2,2,1,500,4,0.0758758326442628,46
1,1,2,500,5,0.0126371886479807,46
2,1,2,500,6,0,46
1,2,2,500,7,0.00662325228329077,46
2,2,2,500,8,0.00150347878264671,46
1,1,3,500,9,0.138690216782644,46
2,1,3,500,10,0.0402553404013373,46
1,2,3,500,11,0.210600211498195,46
2,2,3,500,12,0.0542050715926795,46
1,1,1,600,1,0.0172361967984391,46
2,1,1,600,2,0.071194566707789,46
1,2,1,600,3,0.0126961019160428,46
2,2,1,600,4,0.084965957496814,46
1,1,2,600,5,0.0361471316215816,46
2,1,2,600,6,0.012815643822665,46
1,2,2,600,7,0.0242116115548348,46
2,2,2,600,8,0.0127510016312767,46
1,1,3,600,9,0.204415110432104,46
2,1,3,600,10,0.0866811166143029,46
1,2,3,600,11,0.259536249406041,46
2,2,3,600,12,0.0868146416817755,46
1,1,1,700,1,0.0527186741987372,46
2,1,1,700,2,0.0997675218301556,46
1,2,1,700,3,0.0507540923116741,46
2,2,1,700,4,0.117298421745073,46
1,1,2,700,5,0.0845499624714954,46
2,1,2,700,6,0.0539432350447606,46
1,2,2,700,7,0.0675647448746031,46
2,2,2,700,8,0.0479887313127274,46
1,1,3,700,9,0.287782204868345,46
2,1,3,700,10,0.158864370660171,46
1,2,3,700,11,0.324812083378151,46
2,2,3,700,12,0.139752506969138,46
1,1,1,800,1,0.119106550911728,46
2,1,1,800,2,0.15615484719026,46
1,2,1,800,3,0.118616928414089,46
2,2,1,800,4,0.173997868803154,46
1,1,2,800,5,0.156761348832611,46
2,1,2,800,6,0.122957709816738,46
1,2,2,800,7,0.136173557361106,46
2,2,2,800,8,0.106156822909793,46
1,1,3,800,9,0.383428273027057,46
2,1,3,800,10,0.252154058800555,46
1,2,3,800,11,0.40327972182538,46
2,2,3,800,12,0.208801233236186,46
1,1,1,900,1,0.214560655395097,46
2,1,1,900,2,0.239596996635741,46
1,2,1,900,3,0.213876064282423,46
2,2,1,900,4,0.253745730021709,46
1,1,2,900,5,0.249144678535148,46
2,1,2,900,6,0.216131148555884,46
1,2,2,900,7,0.226757304364062,46
2,2,2,900,8,0.183527858889317,46
1,1,3,900,9,0.484717663040878,46
2,1,3,900,10,0.359107026320895,46
1,2,3,900,11,0.490370634157231,46
2,2,3,900,12,0.287585163329753,46
1,1,1,1000,1,0.3337032301818,46
2,1,1,1000,2,0.346122937884217,46
1,2,1,1000,3,0.330823329640108,46
2,2,1,1000,4,0.352586445022016,46
1,1,2,1000,5,0.355721535956188,46
2,1,2,1000,6,0.326668583287467,46
1,2,2,1000,7,0.333415829447401,46
2,2,2,1000,8,0.274037820977145,46
1,1,3,1000,9,0.584508216420831,46
2,1,3,1000,10,0.470421698633447,46
1,2,3,1000,11,0.58049188648407,46
2,2,3,1000,12,0.368443948289812,46
1,1,1,1100,1,0.468033262806939,46
2,1,1,1100,2,0.468724621831252,46
1,2,1,1100,3,0.460967826239573,46
2,2,1,1100,4,0.464139493185498,46
1,1,2,1100,5,0.468762909413801,46
2,1,2,1100,6,0.445491050805589,46
1,2,2,1100,7,0.44822244371042,46
2,2,2,1100,8,0.370034666698239,46
1,1,3,1100,9,0.6759703132005,46
2,1,3,1100,10,0.576235798981223,46
1,2,3,1100,11,0.66757932655874,46
2,2,3,1100,12,0.443575240927581,46
1,1,1,1200,1,0.606906020877291,46
2,1,1,1200,2,0.598073199883263,46
1,2,1,1200,3,0.594047187985044,46
2,2,1,1200,4,0.580233222514421,46
